name;rating;convenience;security;functionality;comment
Путепровод 49;4.6;2;1;1;Это великолепное здание!
 Вилла 78;2.2;4;5;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Мостки 79;1.5;3;1;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Убежище 86;3.9;1;4;2;Это здание является примером функционального дизайна.
Верфь 76;2.1;4;5;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Бункер 60;0.6;5;3;3;Это здание не имеет особых архитектурных особенностей.
Бункер 60;3.2;4;5;3;Это здание имеет стандартную конструкцию.
Верблюжатник 72;4.3;3;5;2;Это здание построено из стандартных строительных материалов.
Институт 79;4.0;1;2;3;Это здание представляет собой типичный образец современной архитектуры.
Верфь 76;3.0;1;4;4;У этого здания отличная архитектура.
Ангар 29;3.3;3;3;5;Это здание не имеет особых архитектурных особенностей.
Супермаркет 25;3.3;5;4;5;Это здание представляет собой типичный образец современной архитектуры.
Ресторан 7;4.6;3;5;3;Это здание очень функционально.
Улей 62;0.4;4;4;5;Мне нравится дизайн этого здания.
Академия 83;3.1;5;4;3;Это здание не имеет особых архитектурных особенностей.
Дуплянка 76;1.8;3;3;5;Это здание прекрасно вписывается в окружающий ландшафт.
Муравейник 83;0.2;5;1;5;Это здание является примером функционального дизайна.
Ферма 90;3.9;4;5;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Термитник 49;1.0;2;4;4;У этого здания отличная архитектура.
Верблюжатник 72;1.5;1;1;4;Это здание имеет стандартную конструкцию.
Причал 21;3.8;4;2;3;Это здание представляет собой типичный образец современной архитектуры.
Замок 41;2.5;2;4;2;Это здание является примером функционального дизайна.
Цирк 24;4.0;3;4;5;Это здание очень функционально.
Тенета 79;3.3;3;2;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Док 20;0.4;5;1;5;Это здание не имеет особых архитектурных особенностей.
Архив 58;2.4;1;3;4;Это здание имеет стандартную конструкцию.
Путепровод 49;1.7;1;3;1;Это здание является примером функционального дизайна.
Коттедж 44;1.0;3;2;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Театр 40;3.2;4;4;2;Это здание очень функционально.
Утятник 39;0.8;2;2;5;Это здание не имеет особых архитектурных особенностей.
Хаус 80;0.8;2;1;2;Это здание не имеет особых архитектурных особенностей.
Театр 95;4.2;3;5;5;Это здание не имеет особых архитектурных особенностей.
Муравейник 83;2.8;4;2;3;Это здание является примером функционального дизайна.
Утятник 39;1.1;1;3;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Причал 21;3.9;3;5;5;Это здание имеет стандартную конструкцию.
Театр 95;1.3;1;4;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
